ISO,Jurisdiction,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016, 
ISL,Iceland,9.3,9.2,9.1,9.2,9.4,9.6,9.5,9.7,9.6,9.2,8.9,8.7,8.5,8.27,82,78,79,79,78,
IND,India,2.9,2.9,2.8,2.7,2.7,2.8,2.8,2.9,3.3,3.5,3.4,3.4,3.3,3.1,36,36,38,38,40,
IDN,Indonesia,2,1.7,1.7,1.9,1.9,1.9,2,2.2,2.4,2.3,2.6,2.8,2.8,3.03,32,32,34,36, ,
IRN,Iran,-,-,-,-,-,3,2.9,2.9,2.7,2.5,2.3,1.8,2.2,2.72,28,25,27,27,29,
IRQ,Iraq,-,-,-,-,-,2.2,2.1,2.2,1.9,1.5,1.3,1.5,1.5,1.8,18,16,16,16,17,
IRL,Ireland,8.2,7.7,7.2,7.5,6.9,7.5,7.5,7.4,7.4,7.5,7.7,8,8,7.54,69,72,74,75,73,
ISR,Israel,7.1,6.8,6.6,7.6,7.3,7,6.4,6.3,5.9,6.1,6,6.1,6.1,5.81,60,61,60,61,64,
ITA,Italy,4.6,4.7,4.6,5.5,5.2,5.3,4.8,5,4.9,5.2,4.8,4.3,3.9,3.91,42,43,43,44,47,
JAM,Jamaica,3.8,3.8,-,-,4,3.8,3.3,3.6,3.7,3.3,3.1,3,3.3,3.34,38,38,38,41,39,
JPN,Japan,5.8,6,6.4,7.1,7.1,7,6.9,7.3,7.6,7.5,7.3,7.7,7.8,8.04,74,74,76,75,72,
JOR,Jordan,4.7,4.4,4.6,4.9,4.5,4.6,5.3,5.7,5.3,4.7,5.1,5,4.7,4.49,48,45,49,53,48,
KAZ,Kazakhstan,-,2.3,3,2.7,2.3,2.4,2.2,2.6,2.6,2.1,2.2,2.7,2.9,2.69,28,26,29,28,29,
KEN,Kenya,2.5,2,2.1,2,1.9,1.9,2.1,2.1,2.2,2.1,2.1,2.2,2.1,2.24,27,27,25,25,26,
PRK,Korea (North),-,-,-,-,-,-,-,-,-,-,-,-,-,1.01,8,8,8,8,12,
KOR,Korea (South),4.2,3.8,4,4.2,4.5,4.3,4.5,5,5.1,5.1,5.6,5.5,5.4,5.36,56,55,55,56,53,
LWI,Kosovo,-,-,-,-,-,-,-,-,-,-,-,-,2.8,2.85,34,33,33,33,36,
KWT,Kuwait,-,-,-,-,-,5.3,4.6,4.7,4.8,4.3,4.3,4.1,4.5,4.62,44,43,44,49,41,
KGZ,Kyrgyz Republic,-,2.2,-,-,-,2.1,2.2,2.3,2.2,2.1,1.8,1.9,2,2.12,-,-,-,-,28,
LAO,Laos,-,-,-,-,-,-,-,3.3,2.6,1.9,2,2,2.1,2.21,21,26,25,25,30,
LVA,Latvia,2.7,3.4,3.4,3.4,3.7,3.8,4,4.2,4.7,4.8,5,4.5,4.3,4.19,49,53,55,55,57,
LBN,Lebanon,-,-,-,-,-,3,2.7,3.1,3.6,3,3,2.5,2.5,2.49,30,28,27,28,28,
LSO,Lesotho,-,-,-,-,-,-,-,3.4,3.2,3.3,3.2,3.3,3.5,3.52,45,49,49,44,39,
LBR,Liberia,-,-,-,-,-,-,-,2.2,-,2.1,2.4,3.1,3.3,3.19,41,38,37,37,37,
LBY,Libya,-,-,-,-,-,2.1,2.5,2.5,2.7,2.5,2.6,2.5,2.2,2.01,21,15,18,16,14,
LTU,Lithuania,-,3.8,4.1,4.8,4.8,4.7,4.6,4.8,4.8,4.8,4.6,4.9,5,4.75,54,57,58,61,59,
LUX,Luxembourg,8.7,8.8,8.6,8.7,9,8.7,8.4,8.5,8.6,8.4,8.3,8.2,8.5,8.51,80,80,82,81,81,
MKD,Macedonia,-,3.3,-,-,-,2.3,2.7,2.7,2.7,-,3.6,-,-,-,43,44,-,-, ,
MDG,Madagascar,-,-,-,-,1.7,2.6,3.1,2.8,3.1,3.2,3.4,3,2.6,3.04,32,28,28,28,26,
MWI,Malawi,4.1,4.1,4.1,3.2,2.9,2.8,2.8,2.8,2.7,2.7,2.8,3.3,3.4,3,37,37,33,31,31,
MYS,Malaysia,5.3,5.1,4.8,5,4.9,5.2,5,5.1,5,5.1,5.1,4.5,4.4,4.31,49,50,52,50,49,
MDV,Maldives,-,-,-,-,-,-,-,-,-,3.3,2.8,2.5,2.3,2.47,-,-,-,-,36,
MLI,Mali,-,-,-,-,-,3,3.2,2.9,2.8,2.7,3.1,2.8,2.7,2.76,34,28,32,35,32,
MLT,Malta,-,-,-,-,-,-,6.8,6.6,6.4,5.8,5.8,5.2,5.6,5.59,57,56,55,56,55,
MRT,Mauritania,-,-,-,-,-,-,-,-,3.1,2.6,2.8,2.5,2.3,2.43,31,30,30,31,27,
MUS,Mauritius,5,4.9,4.7,4.5,4.5,4.4,4.1,4.2,5.1,4.7,5.5,5.4,5.4,5.07,57,52,54,53,54,
MEX,Mexico,3.3,3.4,3.3,3.7,3.6,3.6,3.6,3.5,3.3,3.5,3.6,3.3,3.1,2.97,34,34,35,35,30,
MDA,Moldova,-,2.6,2.6,3.1,2.1,2.4,2.3,2.9,3.2,2.8,2.9,3.3,2.9,2.88,36,35,35,33,30,
MNG,Mongolia,-,4.3,-,-,-,-,3,3,2.8,3,3,2.7,2.7,2.68,36,38,39,39,38,
MON,Montenegro,-,-,-,-,-,-,-,-,-,3.3,3.4,3.9,3.7,3.97,41,44,42,44, ,
MAR,Morocco,3.7,4.1,4.7,-,3.7,3.3,3.2,3.2,3.2,3.5,3.5,3.3,3.4,3.44,37,37,39,36,37,
MOZ,Mozambique,-,3.5,2.2,-,-,2.7,2.8,2.8,2.8,2.8,2.6,2.5,2.7,2.69,31,30,31,31,27,
MMR,Myanmar,-,-,-,-,-,1.6,1.7,1.8,1.9,1.4,1.3,1.4,1.4,1.49,15,21,21,22,28,
NAM,Namibia,5.3,5.3,5.4,5.4,5.7,4.7,4.1,4.3,4.1,4.5,4.5,4.5,4.4,4.43,48,48,49,53,52,
NPL,Nepal,-,-,-,-,-,-,2.8,2.5,2.5,2.5,2.7,2.3,2.2,2.21,27,31,29,27,29,
NLD,Netherlands,9,9,8.9,8.8,9,8.9,8.7,8.6,8.7,9,8.9,8.9,8.8,8.89,84,83,83,87,83,
NZL,New Zealand,9.4,9.4,9.4,9.4,9.5,9.5,9.6,9.6,9.6,9.4,9.3,9.4,9.3,9.46,90,91,91,88,90,
NIC,Nicaragua,3,3.1,-,2.4,2.5,2.6,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.53,29,28,28,27,26,
NER,Niger,-,-,-,-,-,-,2.2,2.4,2.3,2.6,2.8,2.9,2.6,2.54,33,34,35,34,35,
NGA,Nigeria,1.9,1.6,1.2,1,1.6,1.4,1.6,1.9,2.2,2.2,2.7,2.5,2.4,2.45,27,25,27,26, ,
NOR,Norway,9,8.9,9.1,8.6,8.5,8.8,8.9,8.9,8.8,8.7,7.9,8.6,8.6,8.99,85,86,86,87,85,
OMN,Oman,-,-,-,-,-,6.3,6.1,6.3,5.4,4.7,5.5,5.5,5.3,4.83,47,47,45,45,45,
PAK,Pakistan,2.7,2.2,-,2.3,2.6,2.5,2.1,2.1,2.2,2.4,2.5,2.4,2.3,2.47,27,28,29,30,32,
PSE,Palestine,-,-,-,-,-,3,2.5,2.6,-,-,-,-,-,-,-,-,-,-, ,
PAN,Panama,-,-,-,3.7,3,3.4,3.7,3.5,3.1,3.2,3.4,3.4,3.6,3.27,38,35,37,39,38,
PNG,Papua New Guinea,-,-,-,-,-,2.1,2.6,2.3,2.4,2,2,2.1,2.1,2.17,25,25,25,25,28,
PRY,Paraguay,1.5,2,-,-,1.7,1.6,1.9,2.1,2.6,2.4,2.4,2.1,2.2,2.22,25,24,24,27,30,
PER,Peru,4.5,4.5,4.4,4.1,4,3.7,3.5,3.5,3.3,3.5,3.6,3.7,3.5,3.39,38,38,38,36,35,
PHL,Philippines,3.3,3.6,2.8,2.9,2.6,2.5,2.6,2.5,2.5,2.5,2.3,2.4,2.4,2.64,34,36,38,35,35,
POL,Poland,4.6,4.2,4.1,4.1,4,3.6,3.5,3.4,3.7,4.2,4.6,5,5.3,5.48,58,60,61,62, ,
PRT,Portugal,6.5,6.7,6.4,6.3,6.3,6.6,6.3,6.5,6.6,6.5,6.1,5.8,6,6.1,63,62,63,63, ,
PRI,Puerto Rico,-,-,-,-,-,-,-,-,-,-,5.8,5.8,5.8,5.59,63,62,63,-, ,
QAT,Qatar,-,-,-,-,-,5.6,5.2,5.9,6,6,6.5,7,7.7,7.16,68,68,69,71, ,
ROM,Romania,3,3.3,2.9,2.8,2.6,2.8,2.9,3,3.1,3.7,3.8,3.8,3.7,3.61,44,43,43,46, ,
RUS,Russia,2.4,2.4,2.1,2.3,2.7,2.7,2.8,2.4,2.5,2.3,2.1,2.2,2.1,2.45,28,28,27,29, ,
RWA,Rwanda,-,-,-,-,-,-,-,3.1,2.5,2.8,3,3.3,4,4.98,53,53,49,54,54,
LCA,Saint Lucia,-,-,-,-,-,-,-,-,-,6.8,7.1,7,-,7.02,71,71,-,-,60,
VCT,Saint Vincent and the Grenadines,-,-,-,-,-,-,-,-,-,6.1,6.5,6.4,-,5.76,62,62,67,-,60,
